objID,pairID,expID,detector,ccd_type,GRID_X0,GRID_X0ERR,GRID_Y0,GRID_Y0ERR,GRID_THETA,GRID_THETAERR,group,orientation,dX,dY,dR,theta
212,110,3021122200229,56,E2V,4158.80318168931,0.0204036846368881,2085.06991799163,0.0184585741320976,0.092180065662215,2.17878845258218e-05,2,177.74336691056854,154.69483090138328,-8.557226560149957,154.9313294140643,183.16619365191423
213,98,3021122200214,57,E2V,-105.481075638128,0.0165996165897947,2049.52769232892,0.0147683038893441,0.0932823288519931,1.37535572838921e-05,3,1.3475326541052652,158.14865651230866,-0.21350415561983027,158.14880062988988,180.0773505122559
214,105,3021122200218,57,E2V,2100.43209285658,0.0781065435250547,-46.6210041964929,0.085376223903106,0.0933201334973683,8.41575870767917e-05,1,267.19062653013924,2.374700333600231,222.1260746055932,222.1387679387908,90.61251306832577
215,111,3021122200221,57,E2V,2091.35256195672,0.014710549254494,4155.48565768275,0.0150502423168137,0.0930369506742009,1.24376344086218e-05,0,92.4268246868723,-5.142856160579868,227.33569763383093,227.39386180842484,88.70405877927944
216,112,3021122200230,57,E2V,4196.64741091364,0.0217493280787574,2058.63369592058,0.0187600859459938,0.0930544820382012,1.98232126368027e-05,2,178.47100368249866,127.43733882097149,2.260422729560105,127.45738439450027,178.9838213535686
217,107,3021122200219,58,E2V,2077.93311585558,0.0779000673375297,-40.7231213381453,0.086309743051724,0.0927146643421019,8.66511572087003e-05,1,267.8129959052164,5.034792274819665,219.82015539061558,219.87780663178575,91.31208132055067
218,113,3021122200222,58,E2V,2070.84934407243,0.0147095237821713,4160.62140329633,0.0154769577602658,0.0924743960951395,1.23295616934968e-05,0,91.8781237503192,-2.38729383277996,225.5282391365754,225.540873945031,89.393527155785
219,112,3021122200230,58,E2V,-26.7899279073317,0.0166857244916939,2056.37327319102,0.014249855801547,0.0926333960916882,1.35581186566669e-05,3,1.5932179514122424,127.43733882097149,2.260422729560105,127.45738439450027,178.9838213535686
220,114,3021122200231,58,E2V,4175.02908321012,0.0211398955625891,2062.40111222393,0.0187588263025723,0.0924756192188523,2.12819881292799e-05,2,178.3566473082855,130.82324115533902,4.931265736860041,130.91614800381012,177.84130854551768
221,109,3021122200220,59,E2V,2052.27420793693,0.025724580152846,-39.6417239895978,0.0257482222836797,0.0928072493981914,1.30145222998126e-10,1,268.53188138947274,3.1430979447900427,219.67702646366797,219.69951074276344,90.8197213998369
222,115,3021122200223,59,E2V,2045.60135466574,0.0149864698427106,4161.30480853683,0.0155324426308046,0.0924902129838084,1.28135096443999e-05,0,91.20870390404318,0.18332665278012428,214.50843135224113,214.50850969101614,90.0489670305871
223,114,3021122200231,59,E2V,-51.7941579452192,0.0824317621532746,2057.46984648707,0.0787078362437494,0.0927445924545637,7.3588097974073e-05,3,1.6044099476059728,130.82324115533902,4.931265736860041,130.91614800381012,177.84130854551768
